,city,intercept,slope,predicted_growthrate
0,Vejle,54426.175,202.5235294117647,1.0499054775547945
1,Andkær,320.75,-0.8970588235294118,-0.8809088283431201
2,Bredal,617.75,1.4926470588235294,0.696278511404565
3,Bredsten,1672.275,-2.4367647058823527,-0.4482505514085978
4,Brejning,2821.125,11.5,1.1436622052790784
5,Børkop,5179.7,27.976470588235294,1.4840841646721665
6,Egtved,2280.05,7.589705882352941,0.9451394268363965
7,Gadbjerg,735.825,4.0058823529411764,1.4948716682306822
8,Give,4592.6,4.672058823529412,0.3000021718759661
9,Givskud,625.5,-1.463235294117647,-0.7308563383730161
10,Gravens/Ågård,1285.975,3.3926470588235293,0.7574845515179207
11,Grejs,1042.375,3.3455882352941178,0.9130556930527571
12,Gårslev,1094.875,-1.0514705882352942,-0.29288874324102654
13,Jelling,3414.0,7.352941176470588,0.6233066835097969
14,Jerlev,693.95,-1.7,-0.7668596346139421
15,Ny Højen,704.25,-0.4264705882352941,-0.18355979407544556
16,Nørup,722.15,-0.9514705882352941,-0.40432193274632966
17,Skibet,2010.35,8.15,1.137791428172545
18,Skærup,499.325,0.6897058823529412,0.40487577478892817
19,Smidstrup,763.55,0.6485294117647059,0.25118138789583544
20,Thyregod,1345.475,2.8411764705882354,0.6115427103918987
21,Vandel,771.825,1.2044117647058823,0.45604383366372053
22,Vonge,595.925,0.14852941176470588,0.0744570532699753
23,Ødsted,1432.225,1.598529411764706,0.32859998871414214
